"CASE","SERIAL","REF","QUESTNNR","MODE","STARTED","B001_01","B001_02","B001_03","B001_04","B001_05","B001_06","B001_07","B001_08","B001_09","B001_10","B001_11","B001_12","B001_13","B001_14","B001_15","B001_16","B001_17","B001_18","B001_19","B001_20","B001_21","B001_22","B001_23","B001_24","B001_25","B001_26","B001_27","B001_28","B001_29","B001_30","B001_31","B001_32","B001_33","B001_34","B001_35","B001_36","B001_37","B001_38","B001_39","B001_40","B001_41","B001_42","B002_01","B002_02","B002_03","B002_04","B002_05","B002_06","B002_07","B002_08","B002_09","B002_10","B002_11","B002_12","B002_13","B002_14","B002_15","B002_16","B003_01","DS02","EV01_01","EV02_01","EV03_01","EV04","EV04_01","EV04_02","EV04_03","EV04_04","EV05_01","H001_01","H001_02","H001_03","H001_04","H001_05","H001_06","H001_07","H001_08","H001_09","H001_10","H001_11","H001_12","H001_13","H001_14","H001_15","H001_16","H001_17","H001_18","H001_19","H001_20","H001_21","H001_22","H001_23","H001_24","H001_25","H001_26","H001_27","H001_28","H001_29","H001_30","H001_31","H001_32","H001_33","H001_34","H001_35","H001_36","H001_37","H001_38","H001_39","H001_40","H001_41","H001_42","H002_01","H002_02","H002_03","H002_04","H002_05","H002_06","H002_07","H002_08","H002_09","H002_10","H002_11","H002_12","H002_13","H002_14","H002_15","H002_16","H003_01","KE01_01","KE01_02","KE01_03","KE01_04","KE02_01","KE03","L001_01","L001_02","L001_03","L001_04","L001_05","L001_06","L001_07","L001_08","L001_09","L001_10","L001_11","L001_12","L001_13","L001_14","L001_15","L001_16","L001_17","L001_18","L001_19","L001_20","L001_21","L001_22","L001_23","L001_24","L001_25","L001_26","L001_27","L001_28","L001_29","L001_30","L001_31","L001_32","L001_33","L001_34","L001_35","L001_36","L001_37","L001_38","L001_39","L001_40","L001_41","L001_42","L002_01","L002_02","L002_03","L002_04","L002_05","L002_06","L002_07","L002_08","L002_09","L002_10","L002_11","L002_12","L002_13","L002_14","L002_15","L002_16","L003_01","RA01_CP","RA01","S006","S007","SB01","SB02","SD01","SD02_01","SD11","SD11_10","SD15_01","SD15_01a","SD17","SH01","SH02","SI01_01","SI01_02","SI01_03","SI01_04","SI01_05","SI01_06","SI01_07","SI01_08","SL01","SL02","SM01_01","SM01_02","SM01_03","SM01_04","SM01_05","SM01_06","SM01_07","SM01_08","SM01_09","SM01_10","SM01_11","SM01_12","SM01_13","SM01_14","SW01","SW02","VP03_01","W001_01","W001_02","W001_03","W001_04","W001_05","W001_06","W001_07","W001_08","W001_09","W001_10","W001_11","W001_12","W001_13","W001_14","W001_15","W001_16","W001_17","W001_18","W001_19","W001_20","W001_21","W001_22","W001_23","W001_24","W001_25","W001_26","W001_27","W001_28","W001_29","W001_30","W001_31","W001_32","W001_33","W001_34","W001_35","W001_36","W001_37","W001_38","W001_39","W001_40","W001_41","W001_42","W002_01","W002_02","W002_03","W002_04","W002_05","W002_06","W002_07","W002_08","W002_09","W002_10","W002_11","W002_12","W002_13","W002_14","W002_15","W002_16","W003_01","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME011","TIME012","TIME013","TIME014","TIME015","TIME016","TIME017","TIME018","TIME019","TIME020","TIME021","TIME022","TIME023","TIME024","TIME025","TIME026","TIME027","TIME028","TIME029","TIME030","TIME031","TIME032","TIME033","TIME034","TIME035","TIME036","TIME037","TIME038","TIME039","TIME040","TIME_SUM","MAILSENT","LASTDATA","STATUS","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI"
611,,,"base","interview",2025-07-22 10:47:42,3,2,2,3,2,3,1,1,1,2,1,3,4,2,3,1,1,1,2,1,1,1,2,1,1,2,2,1,1,2,2,1,2,2,1,2,1,2,1,2,1,1,2,1,3,3,1,1,4,1,1,3,2,2,2,1,4,1,"Verständnis, Langeweile",1,,,,0,1,1,1,1,,2,1,2,1,2,2,2,1,3,2,2,4,3,1,3,3,1,2,3,1,1,1,3,4,1,1,2,1,2,3,1,1,4,2,3,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,1,4,1,"Langeweile",4,4,1,3,"Digital, Animation, Bleistift & Tuschezeichnungen",1,5,3,3,2,4,5,4,3,3,3,2,1,4,2,1,3,1,2,1,2,1,1,1,2,1,2,2,1,2,1,3,2,1,2,1,2,1,4,3,3,1,2,3,5,4,5,4,1,1,1,2,4,3,2,3,2,5,5,"Neugier",11,3,4,5,5,5,2,23,7,,,-1,2,5,5,2,2,1,2,1,2,1,1,5,5,3,4,5,3,1,1,3,4,4,3,2,4,1,4,4,5,,2,3,1,1,3,2,2,1,2,3,2,4,3,3,1,2,1,1,2,1,1,1,3,4,1,2,3,1,2,3,2,1,3,2,1,3,3,3,1,2,1,1,4,1,3,1,1,1,2,1,1,1,3,3,3,2,5,1,"Interesse, Beunruhigung",11,14,21,19,12,,21,45,33,31,74,9,22,,52,37,34,119,13,26,,47,35,37,79,6,,19,61,33,41,101,10,111,12,35,89,5,,,1242,,2025-07-22 11:09:36,,0,0,38,38,1,1,1.18
615,,,"base","interview",2025-07-22 14:26:22,4,5,3,1,5,4,5,2,2,4,3,1,5,4,3,3,1,1,1,2,1,1,4,3,1,2,3,1,5,4,2,1,1,4,1,4,2,5,2,3,1,1,5,5,5,4,4,2,1,1,1,5,4,4,5,4,2,1,"Trauer ",1,"Bild 1 ist mir nachhaltig in Erinnerung geblieben, weil ich gern mehr über die abgebildete Frau und ihr Schicksal erfahren würde. Es hat Mitleid für Menschen ausgelöst, die z.B. aufgrund von Armut nicht immer frei über ihr Leben verfügen können.","Auswirkungen von Kunstbetrachtung auf Emotionen und innere Verfassung zu untersuchen",,0,1,1,1,1,,4,2,3,1,2,4,1,1,3,2,1,1,3,1,2,4,1,1,1,2,1,1,2,3,1,1,1,1,1,2,1,1,2,1,1,3,1,4,1,1,1,1,3,2,4,4,4,3,1,1,4,3,3,4,4,2,5,1,"Unruhe",5,5,1,3,,2,2,3,2,1,4,4,5,1,2,3,1,1,2,1,1,1,4,1,1,1,1,3,1,1,1,1,3,2,2,1,1,1,1,3,1,3,2,4,1,1,1,2,2,3,5,4,4,2,3,1,1,5,5,3,4,2,4,3,"Unbehagen gegenüber Männern",11,5,6,4,5,3,1,27,8,,,-1,2,5,4,1,1,1,1,1,2,3,1,5,2,2,1,4,4,2,3,5,3,2,1,1,1,1,1,6,2,"fww7a3gmfK",3,5,3,1,3,2,3,1,2,4,4,3,5,1,1,3,1,1,2,2,1,3,1,4,1,1,2,1,3,3,1,1,3,2,1,3,4,2,1,1,1,3,2,1,5,3,2,4,1,1,1,2,5,5,5,2,5,1,"Ich finde es witzig anzusehen",16,15,39,32,38,32,,58,50,34,64,12,,35,82,65,68,90,13,20,,56,44,32,108,14,,21,77,40,41,63,15,45,160,85,87,29,58,11,1582,,2025-07-22 14:55:31,,1,0,40,40,1,0,0.88
618,,,"base","interview",2025-07-22 19:42:53,4,4,5,2,4,5,4,3,2,4,3,1,4,3,3,2,1,2,1,2,1,1,3,2,1,1,3,2,4,2,3,3,1,5,1,4,1,5,3,3,4,1,5,2,5,4,3,2,5,3,4,3,5,4,4,3,4,4,"Es ist wie eine Umarmung. Ein verstanden werden und ankommen. So als würde jemand sagen, ich weiß, was du fühlst und es ist in Ordnung ",1,,"Nicht richtig. Ich könnte mir vorstellen, dass es darum geht zu erfassen, ob bestimmte Ereignisse des eigenen Lebens beeinflussen, wie man Kunst wahrnimmt mit Informationen zu dem Leben der Künstler und Künstlerinnen, bzw. dem, was das Werk ausdrücken will ",,0,1,1,1,1,,3,2,3,3,3,3,2,2,4,2,2,1,2,2,1,4,1,1,1,2,1,3,1,4,1,1,1,1,4,1,2,1,2,1,1,1,1,3,3,1,3,3,3,3,2,3,2,1,1,1,1,3,4,4,4,1,4,2,"Es ist energisch und chaotisch und doch gleichzeitig zeigt sich in dem Werk Harmonie. Es ist schwer genau zu beschreiben und greifbar zu machen ",3,2,4,2,,2,2,2,1,1,3,2,3,1,2,2,4,2,1,2,1,1,2,1,3,1,1,3,1,4,3,1,4,1,4,4,3,2,3,1,3,2,3,2,1,2,1,3,4,2,4,2,2,1,1,1,1,2,4,3,2,1,3,1,"Ich empfinde das Werk als bedrückend und beunruhigend. ",11,4,7,5,7,4,1,19,7,,,-1,2,7,4,1,1,1,1,2,1,1,1,7,5,1,1,3,3,2,5,4,2,2,1,1,1,1,3,6,4,"eWXt1sLvbA",1,2,1,1,1,1,1,1,1,1,4,4,1,1,1,1,2,1,1,1,1,1,1,5,3,1,5,1,3,5,3,1,4,1,4,1,5,1,1,1,1,2,5,1,5,1,1,1,1,1,1,3,5,5,5,2,3,1,"Es ist beunruhigend und chaotisch. Ich fühle mich unwohl bei dem betrachten des Werks ",11,14,21,30,6,26,,33,24,34,82,10,,26,36,27,35,86,3062,,46,56,31,32,68,12,35,,29,30,28,63,10,28,10,48,88,114,28,11,1278,,2025-07-22 20:55:03,,1,0,40,40,1,0,1.13
619,,,"base","interview",2025-07-22 20:38:44,4,4,3,1,4,4,4,2,4,2,3,2,4,4,4,2,2,2,2,2,1,1,4,4,2,4,2,2,4,4,3,2,1,2,1,4,2,4,1,1,1,1,4,2,4,4,2,1,1,1,1,2,4,4,3,2,2,1,"Melancholie",1,"Bild 3: Melancholie","Assoziation von Vorwissen über einen Künstler und die Wahrnehmung dessen Kunstwerke",,0,1,1,1,1,,3,3,2,1,4,2,4,1,2,1,1,3,1,2,3,1,1,1,4,1,1,1,1,1,4,2,4,1,1,2,1,1,4,1,1,2,1,2,1,1,1,1,2,1,2,2,1,1,1,1,1,2,4,4,4,1,3,1,"Verwirrtheit",2,1,2,4,"Designen, Fotografieren",1,2,2,3,1,4,1,4,1,2,1,4,4,4,4,4,3,4,2,1,1,2,2,4,3,4,3,2,3,3,4,3,2,3,3,4,4,4,3,1,1,3,3,4,3,4,2,3,2,1,1,1,1,4,4,3,3,4,1,"Provokation",11,6,8,4,7,3,1,46,8,,"Lehrerin",1,2,7,3,4,1,2,1,2,1,3,1,6,5,1,1,2,1,1,1,1,2,4,2,5,2,2,1,7,4,"v9nyZqHNEr",2,4,1,1,4,3,4,1,3,4,3,3,4,4,4,2,2,1,1,1,2,1,4,4,3,4,4,3,4,4,3,2,3,2,2,4,4,4,2,2,1,1,2,1,3,3,1,1,1,1,1,2,3,4,4,3,5,1,"Unsicherheit",11,16,35,26,4,28,,65,40,44,80,10,,33,41,40,31,63,9,32,,99,172,65,145,15,,54,162,31,42,85,10,45,42,43,73,90,21,11,1679,,2025-07-22 21:08:58,,1,0,40,40,1,0,0.9
624,,,"base","interview",2025-07-23 18:22:15,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,4,1,2,1,1,1,1,1,1,1,3,1,2,3,3,1,1,1,1,5,4,5,3,1,1,1,"Überraschung",1,,"Ich könnte mir vorstellen, dass Gemälde Einfluss auf die psychische Gesundheit haben könnten.",,0,1,1,1,1,,3,1,1,4,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,3,1,1,1,4,3,1,1,1,2,1,1,1,1,1,1,1,4,3,1,1,1,1,3,2,2,2,1,1,1,"Nichts",1,1,5,1,,2,1,1,1,1,3,1,2,1,1,1,5,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,5,4,1,1,3,1,1,1,3,1,1,1,1,1,4,1,4,3,1,1,1,1,1,5,4,1,1,1,3,1,"Entsetzen ",12,2,6,7,6,7,1,54,6,,"Erzieherin",1,2,6,6,2,1,1,1,1,1,1,1,6,7,2,2,2,1,1,1,1,1,3,1,1,1,3,1,5,7,"w13GspG9Ut",3,2,2,1,2,3,4,1,1,2,4,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,5,3,1,1,2,3,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,4,1,"Nichts",51,29,43,55,6,,38,60,26,41,69,13,156,,67,32,56,89,19,,54,84,51,50,683,90,44,,82,30,154,75,14,46,27,50,91,123,32,0,1717,,2025-07-23 19:06:05,,1,0,40,40,1,0,0.77
630,,,"base","interview",2025-07-24 15:10:21,4,4,2,2,4,4,3,3,2,4,4,1,4,3,4,3,2,3,1,1,1,2,3,3,2,4,4,2,5,3,4,2,1,3,1,3,1,4,3,4,2,1,5,3,4,4,4,2,4,4,4,4,4,4,5,3,2,2,"Fasziniert, weil es immer mehr zu entdecken gibt, je länger ich das Kunstwerk anschaue.",1,,"Wie die Beschreibung von Künstlerbiografien die Wahrnehmung ihrer Kunst beeinflusst?",,0,1,1,1,1,,4,3,3,2,4,5,5,4,4,2,4,1,3,2,1,3,1,3,1,2,1,2,2,3,1,2,3,1,5,2,3,2,2,3,1,2,1,3,3,2,1,3,4,2,3,4,4,4,2,1,5,5,4,4,4,2,4,3,"überrascht und fasziniert von der Darstellung der beiden Ebenen",2,1,3,3,,2,1,2,1,1,1,1,2,1,1,3,4,4,2,1,2,1,2,1,3,1,1,1,3,4,1,2,3,1,4,4,3,1,2,2,3,1,3,2,1,1,1,1,4,2,4,2,2,2,1,1,2,4,3,3,3,3,2,1,"Abgestoßen, verunsichert, entfremdet wegen der strengen Blicke",12,5,6,4,6,5,1,22,7,,,-1,2,6,5,4,2,1,1,2,1,1,1,5,5,1,2,3,3,1,1,2,1,2,1,2,1,1,1,6,5,"orXE6gMJaX",3,4,2,1,3,2,3,2,4,4,3,2,3,2,1,3,1,2,1,1,1,2,2,4,2,1,3,1,4,2,3,2,2,4,2,2,2,3,2,3,2,2,4,2,4,3,4,4,2,2,3,5,4,4,4,2,4,1,"Nervös, wegen der vielen Farben und Elemente, die in dem Bild zu finden sind. Und gefesselt, weil das Bild eine gewisse (räumliche) Tiefe ausstrahlt. ",22,28,15,26,8,47,,49,45,28,123,11,,43,36,43,34,102,7,30,,36,38,37,115,32,,68,47,40,52,135,11,20,15,51,55,50,24,7,1509,,2025-07-24 15:35:51,,1,0,40,40,1,0,1
634,,,"base","interview",2025-07-25 18:34:19,4,3,2,2,5,4,4,5,4,3,2,1,4,3,4,4,2,1,1,1,3,1,2,3,1,3,1,3,4,2,4,3,3,4,1,4,1,5,2,1,1,1,5,5,4,4,5,4,5,5,4,3,4,5,5,3,2,4,"wahrheit",1,"Ich konnte mich selbst in Bild 3 am ehesten wieder erkennen. war erschrockend","Ob die VPn eine psychische bestimmheit haben und diese sich in den Gemälden wiedererkennen lässt","no",0,1,1,1,1,,3,4,4,1,2,3,2,1,2,4,1,3,1,1,3,2,3,2,2,2,1,1,1,3,1,1,4,1,1,2,2,1,4,1,3,1,1,2,1,1,1,1,4,2,3,2,3,4,2,1,1,3,2,5,4,1,4,1,"überfordernt, würde gerne wissen was dahinter steckt",2,3,5,4,,2,3,1,3,2,4,3,3,3,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,3,2,1,3,2,4,1,1,1,1,1,1,1,4,1,2,1,4,1,3,2,2,3,5,4,2,1,1,1,"beobachtet, unter druck gesetzt",12,4,7,5,5,7,1,21,7,,,-1,2,5,5,1,1,1,1,1,1,1,1,4,5,4,2,1,1,1,1,1,1,1,1,1,1,1,1,5,8,"GrkGi0BhRL",4,3,1,1,4,4,3,3,2,4,1,1,3,2,1,1,1,1,1,1,1,1,1,3,2,1,4,1,1,1,1,1,3,2,1,2,2,3,1,1,1,1,3,2,4,4,2,1,1,1,1,3,3,5,4,1,4,1,"Reue",35,7,16,36,16,25,,36,30,25,60,6,,48,54,36,35,88,10,,53,33,28,28,62,5,16,,35,29,25,48,5,30,37,37,45,41,8,20,1136,,2025-07-25 18:53:28,,1,0,40,40,1,0,1.3
635,,,"base","interview",2025-07-25 20:35:45,4,3,4,3,4,5,5,4,4,4,4,1,4,3,2,4,1,4,1,3,1,1,1,1,1,2,1,2,4,1,4,4,1,5,1,4,1,4,4,4,4,1,4,4,5,5,5,5,4,4,4,5,5,5,5,4,4,5,"Erleichterung",1,"Bild 3 (Ruhe, Erleichterung, Widerspiegelung der eigenen Gefühle, Optimismus)","emotionale Sensibilität/Empathie/Feinfühligkeit und Schizophrenie/andere psychische Erkrankungen",,0,1,1,1,1,,4,2,3,3,4,4,4,3,4,3,4,2,3,3,1,1,1,1,1,2,1,1,1,1,1,1,1,2,4,2,3,1,2,3,1,4,1,4,2,3,1,1,2,3,4,2,3,4,1,1,4,2,2,1,3,1,4,3,"Interesse",4,2,3,3,"Aquarell, Ton, Acryl (nur als Hobby)",1,1,3,1,1,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,1,2,1,2,1,2,2,1,1,1,1,3,2,4,2,2,1,1,1,1,3,4,3,3,2,4,1,"Abneigung",12,1,6,5,6,3,1,19,7,,,-1,2,6,4,2,1,1,1,3,1,1,1,5,4,3,2,3,2,4,4,3,2,3,2,5,1,1,1,5,5,"eoKSXBursY",2,4,1,1,4,1,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,1,5,5,1,1,2,1,2,1,1,3,1,1,1,1,4,2,3,1,2,1,1,1,1,2,3,3,3,1,2,1,"Unruhe",90,65,19,28,4,,83,41,47,38,71,5,,43,109,52,54,85,17,46,,37,32,40,96,9,46,,92,32,37,78,10,111,78,61,84,100,40,253,1652,,2025-07-25 21:11:19,,1,0,40,40,1,0,0.82
636,,,"base","interview",2025-07-25 20:47:32,5,4,4,2,5,5,5,3,3,4,5,1,3,1,3,2,1,2,1,1,3,1,3,1,1,2,1,1,3,1,3,1,1,4,1,4,1,5,3,1,1,1,5,5,5,5,5,4,3,3,3,5,5,5,5,4,4,3,"Fasziniert und beeindruckt ",1,"Bild 3 hat mich am meisten überrascht und zum Nachdenken angeregt ","Wir Psychologische Erkrankungen Kunst beeinflussen können",,0,1,1,1,1,,2,2,2,1,3,2,2,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,3,3,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,2,3,3,3,1,2,1,"Verwirrt und eher desinteressiert ",4,3,2,4,"Zeichnungen ",1,3,4,4,2,4,4,4,3,3,3,2,2,4,2,1,2,1,2,1,1,2,2,1,1,1,1,1,1,3,1,2,2,1,4,1,3,1,5,3,3,2,1,5,5,4,4,4,4,2,2,3,3,4,4,5,3,4,3,"Intessiert und zum nachdenken angeregt ",12,3,8,3,7,3,1,20,7,,,-1,2,7,2,4,1,1,1,1,1,1,1,8,3,2,3,4,2,5,5,4,1,2,1,2,1,1,1,7,3,"iU8iJa4i7S",2,4,2,1,4,2,4,2,2,4,4,3,3,2,3,2,1,2,1,1,2,1,1,3,1,1,2,1,4,3,2,1,1,3,1,2,1,4,1,1,1,1,3,2,3,2,4,2,1,1,1,3,4,4,4,3,4,1,"Etwas verwirrt aber interessant an den Gedanken des Künstlers und der Bedeutung ",48,25,23,26,4,,36,29,27,23,45,4,26,,26,19,23,47,3,49,,46,28,37,96,10,,47,35,26,29,74,6,30,41,53,81,35,47,14,1218,,2025-07-25 21:07:50,,1,0,40,40,1,0,1.25
646,,,"base","interview",2025-07-26 18:37:56,5,3,4,4,5,5,5,4,4,3,2,1,3,2,4,3,1,1,1,4,2,3,2,1,1,2,1,4,3,1,1,3,1,4,1,4,1,4,4,1,1,1,3,5,4,5,5,3,3,4,2,3,4,3,4,3,1,4,"Nostalgie",1,,,,0,1,1,1,1,,4,3,4,2,5,4,4,3,4,3,4,1,4,3,1,4,1,3,1,1,1,1,3,3,2,2,2,3,4,2,2,1,2,4,1,3,1,4,4,3,2,1,4,5,4,4,4,4,3,3,2,4,2,4,4,4,3,4,"beeindruckt, Neugierde, lebendig",5,3,2,5,"Fotografie, Zeichnungen",1,3,2,2,3,4,3,4,2,1,2,3,1,2,2,1,2,1,3,2,1,1,1,3,4,1,4,5,3,3,4,1,1,1,3,1,3,1,4,2,4,1,1,4,3,4,3,4,5,1,1,4,4,4,3,3,3,2,2,"Beklemmung (Starren), Nähe/Empathie mit der Frau",13,3,5,3,7,3,1,22,7,,,-1,2,6,6,3,2,1,1,2,3,2,1,5,5,4,1,4,3,3,3,5,3,3,1,5,4,1,1,4,7,"66664Yewmg",2,4,2,1,4,3,3,1,1,3,5,3,3,2,1,3,3,1,3,1,1,1,4,4,1,1,4,1,4,5,1,1,3,5,3,3,3,5,1,1,1,1,5,4,5,2,4,2,1,1,4,3,4,5,4,2,4,1,"Neugierde, Überwältigung, Stress, Verwirrung",5,9,27,30,2,,28,48,64,31,93,14,26,,79,49,55,191,10,38,,75,62,49,157,19,,67,133,126,62,220,18,74,22,125,119,6,6,9,1818,,2025-07-26 19:13:45,,1,0,40,40,1,1,0.97
647,,,"base","interview",2025-07-26 18:58:21,4,1,3,4,4,4,3,4,2,2,2,2,4,3,3,3,3,4,5,3,4,1,4,2,2,2,4,3,4,2,5,2,4,2,4,3,4,4,3,4,4,2,4,3,4,2,4,2,4,4,2,4,3,4,3,4,3,4,"Schmerz",1,"Nö","Menschen die nenn dachschaden haben auch mehr quatsch in bilder interpretieren ","Kunst ist arsch",0,1,1,1,1,,5,4,4,4,5,4,4,4,5,4,4,2,4,4,2,2,3,3,3,3,4,3,4,4,2,4,2,4,4,3,4,4,4,4,2,4,4,4,2,5,5,3,4,3,4,5,4,3,4,2,4,2,4,5,2,5,4,5,"Klug",1,1,3,3,,2,2,3,3,5,3,4,5,1,3,4,3,4,4,5,3,2,4,2,4,3,4,2,4,2,4,5,4,2,5,3,5,5,5,3,5,4,3,5,2,5,2,4,5,3,4,3,5,2,5,2,5,3,5,4,2,4,2,3,"Irritiert",13,4,3,4,3,3,2,26,7,,,-1,2,2,2,1,1,1,1,1,1,1,1,2,2,5,5,4,2,1,1,2,1,2,1,5,3,5,4,2,2,"efveKy87ky",2,4,2,2,4,3,4,5,3,2,3,4,4,2,5,2,5,3,4,4,3,2,4,2,4,2,4,2,4,3,5,2,5,2,5,4,5,4,3,5,2,5,5,2,4,4,2,4,3,4,4,2,4,3,5,3,4,3,"Unglaube",3,7,20,23,1,19,,146,43,17,29,6,,23,56,12,18,23,4,,30,33,11,11,28,4,28,,26,11,11,39,4,52,14,47,95,59,4,10,869,,2025-07-26 19:14:28,,1,0,40,40,1,0,1.95
648,,,"base","interview",2025-07-26 21:13:32,2,2,1,1,2,2,4,1,3,3,3,4,4,1,3,2,1,1,2,1,1,1,3,3,3,2,4,1,2,4,1,1,2,2,2,3,3,3,1,1,2,1,4,2,4,3,3,4,4,4,2,4,4,4,4,3,2,1,"es hat einerseits etwas Zerbrechliches und Zartes, das berührt, und andereseits ist es beunruhigend und morbide; zugleich anziehend und abstoßend ",1,,,,0,1,1,1,1,,2,3,1,1,2,1,2,1,3,3,3,4,2,1,1,3,1,1,2,1,1,1,1,3,1,1,4,1,2,3,1,1,2,2,3,1,2,2,1,1,3,1,4,2,4,2,3,3,2,2,3,3,4,3,2,3,4,1,"Unruhe und Verwirrung, als wäre ich in einem Spiegelkabinett",3,1,2,3,,2,3,4,2,3,4,2,4,1,2,3,3,4,4,1,2,2,1,1,2,3,1,1,2,3,1,4,3,2,2,3,2,1,2,2,2,2,3,4,1,1,1,2,4,2,5,3,3,2,1,1,2,3,4,3,3,2,3,1,"ambivalent ? die Frau hat etwas sehr Faszinierendes an sich, ihr Blick fesselt mich; während die Männer im Hintergrund eher furchteinflößend sind",13,5,6,3,5,3,1,21,7,,,-1,2,6,3,3,2,1,1,1,1,3,1,6,3,2,1,1,1,4,4,2,1,1,2,4,1,1,1,6,3,"h41g0Ns8PA",4,4,4,2,4,4,4,1,3,4,3,1,2,1,1,3,1,1,1,2,1,1,1,2,1,1,2,1,2,2,3,3,1,3,1,1,1,3,2,2,2,1,4,2,4,4,4,1,1,1,1,4,3,3,4,2,2,1,"ein Gefühl von Stimmigkeit",29,20,14,18,4,34,,75,44,33,143,7,,24,32,27,33,125,10,57,,64,47,50,154,13,,44,45,42,41,101,7,40,16,56,111,12,29,12,1613,,2025-07-26 21:40:25,,1,0,40,40,2,1,1.03
649,,,"base","interview",2025-07-27 08:16:18,5,4,3,2,4,4,3,2,3,3,4,1,5,5,4,3,1,3,2,2,3,4,4,4,1,4,4,3,3,4,4,2,3,4,1,4,2,5,3,2,1,2,5,3,4,5,4,2,3,2,2,5,4,3,5,4,5,4,"Trauer, Staunen, Angeregt sein",1,"Bild 3","Ja",,0,1,1,1,1,,4,3,4,2,4,3,3,2,2,4,4,2,4,2,4,3,2,1,3,2,1,3,3,5,1,2,4,1,4,4,2,1,3,2,1,2,2,3,2,1,1,3,3,3,3,3,2,1,2,2,1,5,5,4,5,2,5,2,"Nicht viel, Verwirrtheit, etwas intellektuell angeregt",3,1,2,3,,2,4,3,4,2,4,5,3,2,2,3,3,2,2,4,3,2,2,1,1,2,1,5,3,2,2,2,4,4,3,3,1,1,2,3,1,2,3,5,2,1,1,5,4,3,4,4,4,1,2,2,2,4,4,3,5,2,4,3,"Belustigt, nostalgisch, beunruhigt, interessiert",13,2,5,6,6,6,1,24,7,,,-1,2,5,4,2,1,2,2,1,3,1,2,3,3,4,2,5,3,1,3,3,2,2,2,3,1,3,1,4,4,"cd15trgevH",2,3,4,3,3,3,2,1,2,3,4,3,4,2,3,2,2,1,3,4,1,4,2,4,1,2,3,3,4,3,2,1,2,2,2,1,3,3,2,2,1,4,4,2,3,2,3,2,2,2,1,3,5,5,5,2,3,1,"Gleichgültigkeit, verwirrt, belustigt",35,9,33,284,3,,41,66,57,55,576,20,56,,66,66,52,112,14,,76,123,45,108,99,13,501,,84,59,64,88,15,38,36,79,126,11,27,8,1856,,2025-07-27 09:08:44,,1,0,40,40,1,0,0.75